string,num,list,bool,date,time,truedata
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
t,4,"uy,sdf",true,2001-02-13,11:45 pm,3
u,4,"o,gsd,sdf",true,2001-02-13,11:45 pm,4
p,5,l,false,2001-02-13,11:45 pm,5
